         34042898 function calls (33425683 primitive calls) in 1591.988 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      130    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
        3    0.000    0.000    0.000    0.000 __init__.py:358(namedtuple)
        3    0.000    0.000    0.000    0.000 __init__.py:298(__init__)
      192    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
       87    0.000    0.000    0.000    0.000 __init__.py:101(find_spec)
       83    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
      147    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
     1010    0.000    0.000    0.000    0.000 resolver.py:114(ascend_resolver)
      388    0.000    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
      834    0.000    0.000    0.000    0.000 scanner.py:38(__init__)
      847    0.000    0.000    0.000    0.000 tokens.py:98(__init__)
       99    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:162(__enter__)
      145    0.000    0.000    0.000    0.000 {method 'remove' of 'collections.deque' objects}
     64/5    0.000    0.000    0.195    0.039 <frozen importlib._bootstrap_external>:1020(exec_module)
      131    0.000    0.000    0.000    0.000 _compiler.py:214(_compile_charset)
      255    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
      148    0.000    0.000    0.001    0.000 std.py:113(__exit__)
       48    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      532    0.000    0.000    0.000    0.000 _parser.py:163(__len__)
      120    0.000    0.000    0.000    0.000 enum.py:825(__setattr__)
       64    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
      384    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      429    0.000    0.000    0.000    0.000 _parser.py:175(append)
      146    0.000    0.000    0.000    0.000 threading.py:312(_release_save)
       99    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
      382    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      385    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
       24    0.000    0.000    0.002    0.000 _compiler.py:514(_compile_info)
      383    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      148    0.000    0.000    0.000    0.000 threading.py:303(__enter__)
       64    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
       84    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
      148    0.000    0.000    0.000    0.000 threading.py:318(_is_owned)
       24    0.000    0.000    0.012    0.001 _compiler.py:743(compile)
      104    0.000    0.000    0.003    0.000 parser.py:422(parse_block_mapping_first_key)
      368    0.000    0.000    0.000    0.000 _parser.py:292(tell)
       30    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      104    0.000    0.000    0.002    0.000 constructor.py:215(construct_mapping)
        1    0.000    0.000    0.008    0.008 socket.py:1(<module>)
      346    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
        2    0.000    0.000    0.084    0.042 __init__.py:74(load)
      660    0.000    0.000    0.000    0.000 scanner.py:690(check_document_start)
       87    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
       87    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:416(__enter__)
      346    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
